GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013616900,382,2753692,616799.4802,17222.09505,84,153,4,0,1,14,3,0,56.96003407,10.1659432,4396,67.811647,5.0045496,87708,4013616900,3759
4013617200,383,1024534,197891.6401,8236.51026,82,2,0,0,0,0,0,0.807345259,98.72091183,0.471742915,2521,75.3272511,1.9040063,111607,4013617200,1607
4013092719,384,2568485,346499.3568,11607.24721,76,9,0,0,0,0,0,10.32361187,56.36377475,18.23567469,4950,31.2525253,12.7474748,62155,4013092719,4168
4013092721,385,2536610,450829.9228,17724.90244,108,14,0,0,0,0,0,7.538611776,66.08331406,13.31560147,3593,37.7957139,6.4569997,112188,4013092721,4818
4013092801,386,1256246,294487.8184,14229.8414,60,156,3,0,0,30,4,7.931776354,83.55841261,3.882941496,5374,16.8217343,10.5880164,28359,4013092801,2178
4013103219,387,2865637,600398.4874,21284.39697,107,238,2,2,1,33,5,5.36354021,72.65231385,0.47198244,3361,80.7497769,1.2496281,108319,4013103219,1689
4013103220,388,2171942,736901.8343,13946.72033,83,475,4,2,0,60,2,4.585918533,85.47792465,0,2951,74.110471,1.7621145,101181,4013103220,1420
4013103701,389,2572816,699059.7128,16142.71982,127,108,1,0,0,5,1,6.339204371,74.59003948,1.935924689,4895,61.0214505,5.2911134,56642,4013103701,2865
4013103702,390,4717269,630871.5252,14200.36726,146,64,1,1,1,2,0,3.368598419,33.38213359,6.045936687,3151,64.5509362,3.9669946,72470,4013103702,1730
4013617700,391,2676742,779461.5793,41346.09947,112,115,1,0,0,2,0,5.230810423,84.75787116,5.810118419,3473,58.9979845,9.2715232,74605,4013617700,3147
4013617800,392,2834633,777092.071,13718.33714,122,117,0,1,0,0,0,3.245596902,86.90042623,6.616422147,2661,79.744457,1.052236,118393,4013617800,2531
4013617900,393,2389134,672087.3617,15777.24136,103,93,0,0,0,18,0,2.994844939,81.67907699,9.700515508,2742,76.1487965,1.8599562,94485,4013617900,3166
4013618100,394,2713807,816431.8532,37639.45932,234,55,0,1,0,6,1,6.432553086,84.86577462,1.065925015,4415,74.7451869,2.0838052,93551,4013618100,5617
4013618200,395,1305205,271938.5434,8313.341219,78,66,0,0,0,9,2,0.878092712,93.91339154,1.993845846,3928,67.515275,3.793279,68088,4013618200,3552
4013618500,396,1507496,525570.3168,17210.85812,82,36,1,0,0,0,0,1.098617035,96.38102624,1.97104821,4026,57.0044709,7.9731744,54667,4013618500,3203
4013618600,397,2295575,803728.3091,20579.16841,124,109,2,0,0,18,6,0.90518281,96.69281955,1.316629542,4938,56.8246254,5.0627785,71827,4013618600,3904
4013618800,398,1258100,397116.2188,7879.91422,65,14,0,0,0,0,0,0.661169882,93.91464427,3.935905412,5349,42.6247897,11.1796598,38448,4013618800,2993
4013619000,399,1289396,341592.147,10370.46773,72,11,0,0,0,0,0,1.050334889,83.47371626,5.452100669,3068,74.6740548,3.8787484,61477,4013619000,2127
4013112510,400,10290010,3350678.001,74405.27164,124,88,2,2,2,7,5,2.234674075,67.08969139,19.89992009,4681,11.5359966,6.5797906,77024,4013112510,3212
4013617300,401,1100779,25118.59431,16818.27419,80,3,0,0,0,0,0,3.03066318,81.01675779,13.66769669,3018,68.5222001,2.5513585,95246,4013617300,1597
4013811300,402,1287804,447388.2608,8552.850473,91,33,0,0,0,5,0,5.81782168,92.23951853,0,3026,56.1797753,4.957039,105714,4013811300,2179
4013812100,403,4370379,1048005.545,34468.18736,232,137,1,0,1,19,2,8.508108835,74.54595755,10.84991364,7106,51.533915,9.0486912,94007,4013812100,5381
4013812300,404,2562504,525064.6056,16210.85556,113,32,1,0,0,1,1,10.55734943,76.76668411,7.210955548,4961,56.0572465,6.0673251,132000,4013812300,3878
4013812400,405,16499212,2262499.988,99880.11679,336,420,0,2,0,67,3,4.345108217,44.79843168,28.74141216,7909,52.9649766,7.5104312,112600,4013812400,8699
4013812500,406,1150226,340817.8091,6270.985912,67,39,2,0,0,2,1,10.56071845,75.67851764,4.353880694,2232,57.3028674,4.7043011,138021,4013812500,2532
4013812600,407,3761862,922577.8682,30324.96458,175,216,0,0,0,44,3,17.98825692,60.33619426,0.734577681,6396,62.8830519,5.2532833,139489,4013812600,4917
4013812700,408,2858186,902883.8892,17340.33504,140,15,0,0,0,0,0,9.429978889,82.28303557,2.376790538,6773,55.6031301,5.1232836,162115,4013812700,7650
4013615500,409,2613678,788113.2881,16118.24707,227,32,0,0,0,1,0,5.733748589,65.91143152,10.43763106,2988,93.206158,1.2382865,61650,4013615500,877
4013104402,410,2556177,753398.088,30045.70479,49,229,4,0,2,14,1,4.432868469,74.4812937,15.28239623,2637,33.9780053,14.0310959,65357,4013104402,1967
4013104701,411,1067401,264339.3575,10485.35667,75,18,0,0,0,1,0,3.208049176,94.4952445,0.779840362,2741,59.0660343,6.3480482,65429,4013104701,1104
4013104702,412,1449651,291831.3053,8952.830869,80,58,0,0,0,1,0,0.57320116,94.48153393,2.650212422,4520,44.8672566,5.8849558,44167,4013104702,2846
4013105003,413,10463812,1634175.355,44651.6904,314,369,1,0,0,54,2,31.67529071,53.52318602,2.330656478,4544,79.8855634,0.4401408,250000,4013105003,3577
4013112512,414,11578965,3245940.751,140384.3295,115,302,4,4,3,40,15,2.17525416,67.57006476,23.37595389,566,19.2579505,12.5441696,55417,4013112512,3201
4013812900,415,1922043,459887.3704,11113.78062,47,45,0,0,0,7,0,28.90708801,65.0979858,0.274121874,3363,56.4377044,3.0032709,163287,4013812900,2600
4013813000,416,5853661,1569683.809,30177.5573,219,175,0,0,0,41,1,14.81032393,67.01999854,2.325061605,6077,63.4523614,2.0075695,141466,4013813000,6280
4013813100,417,2613071,448122.3565,9759.34043,113,15,0,0,0,1,1,12.26952397,72.21144337,9.853671973,3708,53.5059331,2.6159655,144028,4013813100,4295
4013813300,418,5123316,1196379.715,23136.56055,216,82,0,0,0,20,2,11.51058554,66.32780215,11.42284951,6713,62.6694473,3.5155668,167130,4013813300,8191
4013813400,419,5220098,1014934.491,12108.9035,109,66,0,1,0,11,1,8.093652615,57.27318899,17.24321715,4825,59.3367876,6.0310881,133716,4013813400,6872
4013813500,420,5170467,1071310.288,31463.57446,146,78,0,1,0,15,1,19.69929715,53.13775526,13.48146941,3905,62.0230474,3.6363636,149784,4013813500,6296
4013813700,421,2574860,630979.7208,7838.1859,19,24,0,0,0,3,3,4.061765266,75.57476012,3.304314672,2510,93.4661355,1.2749004,79375,4013813700,821
4013105004,422,12692855,1059926.946,38747.8052,241,98,0,0,1,11,1,25.66935488,37.94878516,7.601527607,3026,82.7495043,0.3965631,250000,4013105004,1974
4013106002,423,942646,285080.6491,10368.68282,28,111,1,1,0,29,4,18.97051126,81.02948874,0,3039,36.8871339,13.7545245,26713,4013106002,1846
4013106003,424,941132,327344.9351,7195.107959,48,21,0,0,0,0,0,8.978806717,89.69189022,1.329303061,3628,34.2337376,10.7497244,47446,4013106003,1798
4013106502,425,1309433,452793.2937,10373.51602,64,155,1,0,1,13,1,30.84984281,69.15015719,0,3652,68.3461117,2.7656079,73359,4013106502,1426
4013106701,426,633661,226330.893,9313.456993,38,18,0,0,0,0,0,0,97.73125709,2.26874291,4556,29.9824407,24.9561018,32384,4013106701,2214
4013106703,427,1288397,409179.1711,10653.42903,88,24,0,0,0,0,0,25.14049545,63.77359442,0.161286258,2234,62.6230976,3.4914951,108194,4013106703,1154
4013106802,428,1879037,558706.6319,19028.99912,82,110,0,0,0,11,2,4.87910941,86.24978257,0.887110802,3569,39.7590361,5.8840011,62885,4013106802,1561
4013107601,429,1310496,519070.8686,11905.8684,65,74,0,0,0,0,1,15.49386382,84.50613618,0,3332,61.7947179,6.032413,87941,4013107601,1368
4013107602,430,1304618,451913.3942,14514.13781,60,173,6,0,0,20,2,19.93683477,79.42902616,0.634139063,2650,64.9811321,4.754717,107606,4013107602,2032
4013108301,431,2313942,444944.0252,16798.55913,145,109,0,0,0,11,1,29.45772123,67.40328409,1.330933746,3661,80.0327779,1.8301011,205465,4013108301,1263
4013108501,432,1295691,420598.9664,20594.0277,67,236,0,1,0,31,5,2.573418105,97.42658189,0,2575,54.1747573,5.8640777,67200,4013108501,1440
