LST,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,id,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southwest,East,Northwest,North,West,South,Northeast,Southeast
18.40706915,-70.9614,42.3922,48,2,0.0,0.0,0.0,0.0,98,0.0,63.51673617,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.89949318,-70.9566,42.3922,49,2,0.0,0.0,0.0,0.0,99,0.0,63.51673617,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16.75274747,-70.9517,42.3922,50,2,0.0,0.0,0.0,0.0,100,0.0,63.51673617,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31.56302813,-71.1894,42.3886,1,3,27.76828058,0.0,0.48384866,32.94704205,101,2.32113731,0.0,1.63648546,177.15097046,21.41807938,0.0,0.0,12.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38.40590417,-71.1846,42.3886,2,3,29.3419384,0.0,1.19127113,30.31416071,102,2.67293837,0.0,0.2116515,319.60626221,20.32418442,0.0,5540.51447889839,13.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.32239183,-71.1797,42.3886,3,3,33.20345694,0.0,6.31809056,23.41556767,103,0.58319343,0.0,2.67798543,296.89178467,31.7174511,1.0,62836.98666919361,16.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35.14511309,-71.1749,42.3886,4,3,59.48139733,0.0,1.11674659,2.89678407,104,0.02538061,0.0,2.48471141,317.09793091,41.75005722,0.0,45467.803825531315,17.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37.73255423,-71.1700,42.3886,5,3,54.13651366,0.0,5.01865954,4.25354613,105,0.11158928,0.0,3.31224394,41.27428818,38.61026382,0.0,60924.04490120792,20.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.07629439,-71.1652,42.3886,6,3,48.93730884,0.0,4.63846688,9.51083731,106,0.43369557,0.0,2.40545416,50.84606171,27.51371002,3.0,49029.542922869805,8.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.71204611,-71.1603,42.3886,7,3,44.78942943,0.0,6.28671114,8.84343988,107,0.82625258,0.0,1.74885535,98.5503006,16.68209648,0.0,33209.0495942503,2.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.54229086,-71.1555,42.3886,8,3,34.02974762,0.0,20.40781909,1.65982065,108,0.1912194,7.11278884,0.8586551,106.3754425,1.403916,0.0,2044.7454437859344,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.26395138,-71.1506,42.3886,9,3,24.13187319,0.0,8.3552172,8.39795143,109,0.58841858,20.72705659,0.21052632,230.6048584,1.06295824,2.0,10032.636870782115,1.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
